time,vehicle_id,speed,CO2,CO,HC,NOx,PMx,fuel
1,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
2,vehicle_0,1.73,3201.94,147.37,0.75,1.43,0.07,1.38
3,vehicle_0,3.23,3554.73,131.16,0.68,1.55,0.07,1.53
4,vehicle_0,5.82,6066.30,146.89,0.81,2.67,0.13,2.61
5,vehicle_0,7.01,4264.03,95.19,0.53,1.79,0.08,1.83
6,vehicle_0,6.90,0.00,0.00,0.00,0.00,0.00,0.00
7,vehicle_0,7.03,2336.49,55.25,0.30,0.88,0.03,1.00
8,vehicle_0,6.65,0.00,0.00,0.00,0.00,0.00,0.00
9,vehicle_0,6.57,0.00,0.00,0.00,0.00,0.00,0.00
10,vehicle_0,6.64,2235.19,57.75,0.31,0.84,0.03,0.96
11,vehicle_0,6.46,0.00,0.00,0.00,0.00,0.00,0.00
12,vehicle_0,6.58,2312.17,60.11,0.32,0.88,0.03,0.99
13,vehicle_0,6.39,0.00,0.00,0.00,0.00,0.00,0.00
14,vehicle_0,6.94,3087.54,71.80,0.40,1.24,0.05,1.33
15,vehicle_0,6.58,0.00,0.00,0.00,0.00,0.00,0.00
16,vehicle_0,6.90,2664.30,63.57,0.35,1.04,0.04,1.15
17,vehicle_0,7.01,2315.66,54.99,0.30,0.87,0.03,1.00
18,vehicle_0,3.75,0.00,0.00,0.00,0.00,0.00,0.00
19,vehicle_0,3.53,0.00,0.00,0.00,0.00,0.00,0.00
20,vehicle_0,0.37,0.00,0.00,0.00,0.00,0.00,0.00
21,vehicle_0,2.49,3723.97,146.02,0.75,1.65,0.08,1.60
22,vehicle_0,3.83,3578.37,122.89,0.64,1.55,0.07,1.54
23,vehicle_0,4.18,2601.17,97.75,0.50,1.08,0.04,1.12
24,vehicle_0,4.80,2959.05,96.48,0.51,1.23,0.05,1.27
25,vehicle_0,4.41,0.00,0.00,0.00,0.00,0.00,0.00
26,vehicle_0,4.50,2303.28,87.07,0.45,0.93,0.04,0.99
27,vehicle_0,5.14,3020.91,93.13,0.49,1.25,0.05,1.30
28,vehicle_0,4.10,0.00,0.00,0.00,0.00,0.00,0.00
29,vehicle_0,3.95,0.00,0.00,0.00,0.00,0.00,0.00
30,vehicle_0,3.93,0.00,0.00,0.00,0.00,0.00,0.00
31,vehicle_0,1.49,0.00,0.00,0.00,0.00,0.00,0.00
32,vehicle_0,0.28,0.00,0.00,0.00,0.00,0.00,0.00
33,vehicle_0,0.04,0.00,0.00,0.00,0.00,0.00,0.00
