time,vehicle_id,speed,CO2,CO,HC,NOx,PMx,fuel
34,vehicle_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
36,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
37,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
38,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
39,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
40,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
41,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
42,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
43,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
44,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
45,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
46,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
47,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
48,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
49,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
50,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
51,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
52,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
53,vehicle_0,2.49,3965.03,150.97,0.78,1.77,0.09,1.70
54,vehicle_0,4.28,4212.85,129.46,0.69,1.84,0.09,1.81
55,vehicle_0,4.31,2248.85,88.55,0.45,0.91,0.03,0.97
56,vehicle_0,3.89,0.00,0.00,0.00,0.00,0.00,0.00
57,vehicle_0,4.61,3055.63,101.06,0.53,1.28,0.05,1.31
58,vehicle_0,4.15,0.00,0.00,0.00,0.00,0.00,0.00
59,vehicle_0,5.02,3308.54,100.71,0.53,1.39,0.06,1.42
60,vehicle_0,4.07,0.00,0.00,0.00,0.00,0.00,0.00
61,vehicle_0,4.60,2829.33,96.48,0.50,1.18,0.05,1.22
62,vehicle_0,4.51,0.00,0.00,0.00,0.00,0.00,0.00
63,vehicle_0,4.59,2293.55,85.62,0.44,0.92,0.03,0.99
64,vehicle_0,4.25,0.00,0.00,0.00,0.00,0.00,0.00
65,vehicle_0,4.81,2883.00,94.78,0.50,1.20,0.05,1.24
66,vehicle_0,2.18,0.00,0.00,0.00,0.00,0.00,0.00
67,vehicle_0,1.04,0.00,0.00,0.00,0.00,0.00,0.00
68,vehicle_0,0.09,0.00,0.00,0.00,0.00,0.00,0.00
69,vehicle_0,0.06,0.00,0.00,0.00,0.00,0.00,0.00
70,vehicle_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
72,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
73,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
74,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
75,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
76,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
77,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
78,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
79,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
80,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
81,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
82,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
83,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
84,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
85,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
86,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
87,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
88,vehicle_0,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
89,vehicle_0,2.04,3481.93,148.03,0.76,1.55,0.08,1.50
90,vehicle_0,4.09,4410.68,136.20,0.72,1.94,0.09,1.90
91,vehicle_0,5.04,3413.96,102.56,0.55,1.44,0.06,1.47
92,vehicle_0,3.11,0.00,0.00,0.00,0.00,0.00,0.00
93,vehicle_0,2.46,0.00,0.00,0.00,0.00,0.00,0.00
94,vehicle_0,2.82,2580.81,117.39,0.59,1.11,0.05,1.11
95,vehicle_0,4.54,4240.63,126.37,0.67,1.84,0.09,1.82
96,vehicle_0,4.40,0.00,0.00,0.00,0.00,0.00,0.00
97,vehicle_0,5.10,3096.75,95.24,0.50,1.29,0.05,1.33
98,vehicle_0,3.97,0.00,0.00,0.00,0.00,0.00,0.00
99,vehicle_0,4.20,2470.22,94.78,0.49,1.02,0.04,1.06
100,vehicle_0,4.73,2838.27,94.98,0.50,1.18,0.05,1.22
101,vehicle_0,4.72,0.00,0.00,0.00,0.00,0.00,0.00
102,vehicle_0,4.49,0.00,0.00,0.00,0.00,0.00,0.00
103,vehicle_0,4.80,2573.70,88.50,0.46,1.05,0.04,1.11
104,vehicle_0,4.28,0.00,0.00,0.00,0.00,0.00,0.00
105,vehicle_0,4.32,2260.69,88.67,0.45,0.91,0.04,0.97
106,vehicle_0,4.67,2609.06,91.05,0.47,1.07,0.04,1.12
107,vehicle_0,4.54,0.00,0.00,0.00,0.00,0.00,0.00
108,vehicle_0,4.04,0.00,0.00,0.00,0.00,0.00,0.00
109,vehicle_0,4.56,2809.77,96.68,0.50,1.17,0.05,1.21
110,vehicle_0,4.03,0.00,0.00,0.00,0.00,0.00,0.00
111,vehicle_0,4.69,2996.53,98.68,0.52,1.25,0.05,1.29
112,vehicle_0,3.96,0.00,0.00,0.00,0.00,0.00,0.00
113,vehicle_0,4.09,2362.69,94.14,0.48,0.97,0.04,1.02
114,vehicle_0,4.18,2317.30,91.93,0.47,0.95,0.04,1.00
115,vehicle_0,4.50,2574.94,92.74,0.48,1.06,0.04,1.11
116,vehicle_0,4.67,2401.96,86.77,0.45,0.97,0.04,1.03
117,vehicle_0,4.24,0.00,0.00,0.00,0.00,0.00,0.00
118,vehicle_0,4.23,0.00,0.00,0.00,0.00,0.00,0.00
119,vehicle_0,4.87,2996.83,96.25,0.51,1.25,0.05,1.29
120,vehicle_0,4.22,0.00,0.00,0.00,0.00,0.00,0.00
121,vehicle_0,3.85,0.00,0.00,0.00,0.00,0.00,0.00
122,vehicle_0,5.01,3678.84,108.47,0.58,1.57,0.07,1.58
123,vehicle_0,3.86,0.00,0.00,0.00,0.00,0.00,0.00
124,vehicle_0,4.85,3433.31,105.52,0.56,1.45,0.06,1.48
125,vehicle_0,4.30,0.00,0.00,0.00,0.00,0.00,0.00
126,vehicle_0,4.54,2474.62,90.06,0.47,1.01,0.04,1.06
127,vehicle_0,4.85,2576.56,87.85,0.46,1.05,0.04,1.11
128,vehicle_0,4.94,2292.24,80.76,0.42,0.91,0.03,0.99
129,vehicle_0,5.08,2342.69,80.02,0.42,0.93,0.03,1.01
